(0) P_level        R_RH        R_T        rh         tv         q        R_Q
(0) 1000.000000   0.742230   1.393200  80.602448  30.270067      17819 2096.365234
(0) 950.000000   0.836880   1.439000  69.245071  26.665226      13663 1648.217163
(0) 900.000000   0.940250   1.435400  76.528610  22.795395      12733 1546.288330
(0) 850.000000   1.043900   1.366900  73.610245  20.779408      11601 1372.246460
(0) 800.000000   1.159100   1.255200  69.450630  17.864021       9881 1108.562134
(0) 750.000000   1.271500   1.136200  61.254208  14.469753       7675 819.975281
(0) 700.000000   1.381900   1.039700  37.333443  12.460817       4572 522.304932
(0) 650.000000   1.485000   0.980160  25.509401   9.165878       2763 361.847443
(0) 600.000000   1.556200   0.947570  14.376587   4.196549       1230 218.818665
(0) 550.000000   1.597200   0.928750  10.518377   1.536851        805 180.315582
(0) 500.000000   1.630500   0.917140  14.220542  -3.165646        849 158.871246
(0) 450.000000   1.670700   0.916250   9.897746  -9.576246        409  98.538383
(0) 400.000000   1.709100   0.935060  17.715343 -16.490198        462  81.921036
(0) 350.000000   1.751700   0.984470  25.075186 -23.378374        425  65.856689
(0) 300.000000   1.804700   1.069900  22.745844 -32.472672        189  34.799637
(0) 250.000000   1.862100   1.181600  35.090988 -42.737770        125  22.252234
(0) 200.000000   1.913400   1.286200  19.811369 -53.624847         26   6.408924
(0) 150.000000   1.951700   1.354200  63.527073 -68.114510         17   3.708830
(0) 100.000000   1.976200   1.383100  23.977266 -70.852768          6   1.823195
(0)  75.000000   1.989700   1.383200   3.895601 -66.328590          3   1.853168
