(0) P_level        R_RH        R_T        rh         tv         q        R_Q
(0) 1000.000000   7.422300   1.393200  80.602448  30.270067      17819 3968.728271
(0) 950.000000   8.368800   1.439000  69.245071  26.665226      13663 3438.248047
(0) 900.000000   9.402500   1.435400  76.528610  22.795395      12733 3220.154785
(0) 850.000000  10.439000   1.366900  73.610245  20.779408      11601 3108.245605
(0) 800.000000  11.591001   1.255200  69.450630  17.864021       9881 2810.735840
(0) 750.000000  12.715000   1.136200  61.254208  14.469753       7675 2417.890137
(0) 700.000000  13.818999   1.039700  37.333443  12.460817       4572 2152.503662
(0) 650.000000  14.850000   0.980160  25.509401   9.165878       2763 1872.756714
(0) 600.000000  15.562000   0.947570  14.376587   4.196549       1230 1432.639893
(0) 550.000000  15.972000   0.928750  10.518377   1.536851        805 1304.322510
(0) 500.000000  16.305000   0.917140  14.220542  -3.165646        849 1051.587646
(0) 450.000000  16.706999   0.916250   9.897746  -9.576246        409 718.863953
(0) 400.000000  17.091000   0.935060  17.715343 -16.490198        462 488.664795
(0) 350.000000  17.517000   0.984470  25.075186 -23.378374        425 328.727661
(0) 300.000000  18.047001   1.069900  22.745844 -32.472672        189 170.699478
(0) 250.000000  18.621000   1.181600  35.090988 -42.737770        125  81.532143
(0) 200.000000  19.134001   1.286200  19.811369 -53.624847         26  28.682159
(0) 150.000000  19.517000   1.354200  63.527073 -68.114510         17   8.366940
(0) 100.000000  19.761999   1.383100  23.977266 -70.852768          6   6.617623
(0)  75.000000  19.896999   1.383200   3.895601 -66.328590          3  14.016161
